data,val,Percentage Daily Movement,Percentage Price Change
2021-04-21,64.02,-0.02050183598531219,1.13044925124792
2021-04-22,63.06,-0.014995313964386026,1.0985024958402663
2021-04-23,63.63,0.009039010466222575,1.1174708818635606
2021-04-26,63.22,-0.006443501493006543,1.1038269550748752
2021-04-27,63.91,0.010914267636823682,1.1267886855241265
2021-04-28,64.53,0.009701142231262727,1.1474209650582363
2021-04-29,65.71,0.018286068495273478,1.1866888519134775
2021-04-30,65.42,-0.0044133313042153954,1.1770382695507489
2021-05-03,65.09,-0.005044328951390953,1.1660565723793679
2021-05-04,66.67,0.024274082040251832,1.2186356073211315
2021-05-05,68.2,0.022948852557372224,1.26955074875208
2021-05-06,67.49,-0.010410557184750813,1.2459234608985024
2021-05-07,66.57,-0.013631649133204915,1.2153078202995007
2021-05-10,67.1,0.007961544239146745,1.2329450915141429
2021-05-11,66.39,-0.010581222056631812,1.2093178036605658
2021-05-12,67.46,0.01611688507305309,1.2449251247920132
2021-05-13,66.78,-0.01008004743551727,1.2222961730449253
2021-05-14,66.16,-0.009284216831386694,1.2016638935108153
2021-05-17,67.52,0.02055622732769047,1.2469217970049915
2021-05-18,68.39,0.01288507109004744,1.275873544093178
2021-05-19,65.95,-0.03567773066237756,1.1946755407653913
2021-05-20,65.29,-0.01000758150113712,1.1727121464226293
2021-05-21,64.18,-0.017001072139684492,1.1357737104825294
2021-05-24,66.93,0.04284823932689319,1.2272878535773712
2021-05-25,67.41,0.007171671896010645,1.243261231281198
2021-05-26,67.47,0.0008900756564307333,1.2452579034941764
2021-05-27,67.32,-0.002223210315695945,1.2402662229617303
2021-05-28,68.2,0.013071895424836777,1.26955074875208
2021-05-31,68.53,0.004838709677419395,1.280532445923461
2021-06-01,69.03,0.007296074711805156,1.2971713810316141
2021-06-02,69.39,0.005215123859191539,1.3091514143094842
2021-06-03,69.91,0.007493875198155253,1.3264559068219632
2021-06-04,70.23,0.004577313689028806,1.3371048252911815
2021-06-07,70.15,-0.0011391143386016989,1.334442595673877
2021-06-08,69.83,-0.004561653599429949,1.323793677204659
2021-06-09,71.21,0.019762279822425732,1.3697171381031612
2021-06-10,70.9,-0.004353321162757884,1.3594009983361068
2021-06-11,71.31,0.005782792665726344,1.3730449251247923
2021-06-14,71.99,0.009535829476931657,1.3956738768718802
2021-06-15,72.05,0.0008334490901513725,1.3976705490848584
2021-06-16,73.16,0.015405968077723875,1.4346089850249584
2021-06-17,72.29,-0.011891744122471182,1.4056572379367722
2021-06-18,71.56,-0.01009821552081902,1.3813643926788688
2021-06-21,72.45,0.012437115707099045,1.410981697171381
2021-06-22,73.13,0.009385783298826667,1.4336106489184692
2021-06-23,74.01,0.012033365239983773,1.4628951747088188
2021-06-24,74.09,0.0010809350087825909,1.4655574043261232
2021-06-25,74.19,0.001349709812390243,1.4688851913477536
2021-06-28,73.84,-0.004717616929505231,1.4572379367720467
2021-06-29,73.34,-0.006771397616468056,1.4405990016638937
2021-06-30,73.6,0.0035451322607034097,1.449251247920133
2021-07-01,74.87,0.017255434782608825,1.4915141430948422
2021-07-02,75.21,0.004541204754908268,1.502828618968386
2021-07-05,75.71,0.006648052120728609,1.519467554076539
2021-07-06,75.94,0.003037907806102247,1.5271214642262896
2021-07-07,73.58,-0.031077166183829386,1.448585690515807
2021-07-08,71.97,-0.02188094590921441,1.395008319467554
2021-07-09,74.18,0.030707239127414354,1.4685524126455909
2021-07-12,74.33,0.00202210838500938,1.4735440931780366
2021-07-13,75.13,0.010762814475985483,1.5001663893510815
2021-07-14,75.29,0.002129641953946715,1.5054908485856908
2021-07-15,73.15,-0.02842342940629561,1.4342762063227956
2021-07-16,72.84,-0.0042378673957621515,1.4239600665557406
2021-07-19,70.54,-0.03157605711147715,1.3474209650582365
2021-07-20,70.5,-0.0005670541536717533,1.3460898502495842
2021-07-21,69.93,-0.008085106382978657,1.3271214642262898
2021-07-22,72.09,0.030888030888030826,1.399001663893511
2021-07-23,73.03,0.013039256484949302,1.4302828618968386
2021-07-26,72.68,-0.004792551006435608,1.4186356073211317
2021-07-27,73.62,0.01293340671436427,1.4499168053244595
2021-07-28,73.57,-0.0006791632708504913,1.4482529118136438
2021-07-29,74.42,0.011553622400435115,1.4765391014975042
2021-07-30,74.98,0.0075248589088954265,1.4951747088186358
2021-08-02,73.89,-0.014537209922646066,1.458901830282862
2021-08-03,72.71,-0.015969684666396033,1.4196339434276204
